aclu_id,display_name,running_in_2018
aclu/elections-api/congress_legislator:950,Sen. Lamar Alexander (R-TN),0
aclu/elections-api/congress_legislator:987,Sen. Ted Cruz (R-TX),1
aclu/elections-api/congress_legislator:967,Whip John Cornyn (R-TX),0
aclu/elections-api/congress_legislator:993,Sen. Mike Lee (R-UT),0
aclu/elections-api/congress_legislator:994,Sen. Orrin Hatch (R-UT),0
aclu/elections-api/congress_legislator:1003,Sen. Mark Warner (D-VA),0
aclu/elections-api/congress_legislator:1008,Sen. Tim Kaine (D-VA),1
aclu/elections-api/congress_legislator:1010,Sen. Bernie Sanders (I-VT),1
aclu/elections-api/congress_legislator:1011,"Sen. Patrick ""Pat"" Leahy (D-VT) ",0
aclu/elections-api/congress_legislator:1020,Sen. Maria Cantwell (D-WA),1
aclu/elections-api/congress_legislator:1021,Sen. Patty Murray (D-WA),0
aclu/elections-api/congress_legislator:1031,Sen. Ron Johnson (R-WI),0
aclu/elections-api/congress_legislator:1034,Sen. Tammy Baldwin (D-WI),1
aclu/elections-api/congress_legislator:1039,Sen. Shelley Capito (R-WV),0
aclu/elections-api/congress_legislator:1038,Sen. Joe Manchin (D-WV),1
aclu/elections-api/congress_legislator:1040,Sen. John Barrasso (R-WY),1
aclu/elections-api/congress_legislator:1042,Sen. Mike Enzi (R-WY),0
