Senator,State,Party,Total percentage score,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24
,,,,"S66: On H.J.Res. 40: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by ...",S80: On the Motion to Proceed H.J.Res. 37,"S81: On H.J.Res. 37: Disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and ...","S84: On H.J.Res. 57: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by ...","S94: On S.J.Res. 34: A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the ...",S100: On the Motion to Proceed H.J.Res. 43,"S101: On H.J.Res. 43: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted ...",S167: On the Motion to Proceed H.R. 1628,S179: On S.Amdt. 667 (McConnell) to H.R. 1628 (115th) and to S.Amdt. 267: Of a perfecting nature.,S10: On the Motion to Proceed S. 139,S11: On Motion to Invoke Cloture: Motion to Concur in the House Amdt. to S. 139,S12: On S. 139: An Act to amend the Foreign Intelligence Surveillance Act of 1978 to improve foreign intelligence collection and the ...,S25: On Motion to Invoke Cloture on the Motion to Proceed to the Consideration of S. 2311,S34: On Motion to Invoke Cloture on Amdt. No. 1948,S36: On Motion to Invoke Cloture on Amdt. No. 1959,S57: On Motion to Invoke Cloture on the Motion to Proceed to H.R. 1865,S60: On H.R. 1865: Allow States and Victims to Fight Online Sex Trafficking Act of 2017,S62: On Motion to Invoke Cloture on the Motion to Concur in the House Amendment to the Senate Amendment to H.R. 1625,"S63: On H.R. 1625: Consolidated Appropriations Act, 2018","S96: On the Motion to Proceed: Motion to Proceed to S. J. Res. 52; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Communications Commission relating to ""Restoring Internet Freedom"".","S97: On the Joint Resolution: S. J. Res. 52; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Communications Commission relating to ""Restoring Internet Freedom"".",S222: On the Cloture Motion (Motion to Invoke Cloture Re: Brett M. Kavanaugh to be an Associate Justice of the Supreme Court of the United States),Judiciary committee vote - S. 1917: Sentencing Reform and Corrections Act of 2017
,,,,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Supported,ACLU Opposed,ACLU Supported
Sen. Jon Kyl (R-AZ),AZ,R,0%,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,0,Not on committee
Sen. Dianne Feinstein (D-CA) ,CA,D,74%,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1
Sen. Kamala Harris (D-CA) ,CA,D,87%,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
Sen. Cory Gardner (R-CO),CO,R,27%,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,Not on committee
Sen. Michael Bennet (D-CO),CO,D,73%,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,Not on committee
Sen. Chris Murphy (D-CT),CT,D,73%,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,Not on committee
"Sen. Richard ""Dick"" Blumenthal (D-CT) ",CT,D,74%,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1
"Sen. Christopher ""Chris"" Coons (D-DE) ",DE,D,78%,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
Sen. Tom Carper (D-DE),DE,D,64%,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,Not on committee
Sen. Marco Rubio (R-FL),FL,R,5%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee
Sen. Bill Nelson (D-FL),FL,D,62%,0,1,1,1,1,1,1,1,1,0,0,0,Missed,1,1,0,0,0,0,1,1,1,Not on committee
Sen. David Perdue (R-GA),GA,R,14%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Not on committee
Sen. Johnny Isakson (R-GA),GA,R,6%,1,Missed,Missed,Missed,Missed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee
Sen. Brian Schatz (D-HI),HI,D,76%,0,Missed,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,Not on committee
Sen. Mazie Hirono (D-HI) ,HI,D,78%,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
Sen. Chuck Grassley (R-IA) ,IA,R,17%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Sen. Joni Ernst (R-IA),IA,R,9%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Not on committee
"Sen. James ""Jim"" Risch (R-ID)",ID,R,14%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Not on committee
Sen. Mike Crapo (R-ID) ,ID,R,17%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Sen. Tammy Duckworth (D-IL),IL,D,64%,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,Not on committee
Whip Dick Durbin (D-IL) ,IL,D,83%,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
Sen. Todd Young (R-IN),IN,R,5%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee
Sen. Joe Donnelly (D-IN),IN,D,55%,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,Not on committee
Sen. Jerry Moran (R-KS),KS,R,18%,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,Not on committee
Sen. Pat Roberts (R-KS),KS,R,5%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Missed,0,0,0,0,0,0,Not on committee
Leader Mitch McConnell (R-KY),KY,R,5%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee
Sen. Rand Paul (R-KY),KY,R,43%,1,0,0,0,Missed,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,Not on committee
Sen. Bill Cassidy (R-LA),LA,R,14%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Not on committee
Sen. John Kennedy (R-LA) ,LA,R,26%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
"Sen. Edward ""Ed"" Markey (D-MA)",MA,D,82%,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,Not on committee
Sen. Elizabeth Warren (D-MA),MA,D,86%,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,Not on committee
Sen. Ben Cardin (D-MD),MD,D,73%,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,Not on committee
Sen. Chris Van Hollen (D-MD),MD,D,77%,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,Not on committee
Sen. Angus King (I-ME),ME,I,68%,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,Not on committee
Sen. Susan Collins (R-ME),ME,R,41%,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,Not on committee
Sen. Debbie Stabenow (D-MI),MI,D,64%,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,Not on committee
Sen. Gary Peters (D-MI),MI,D,64%,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,Not on committee
Sen. Amy Klobuchar (D-MN) ,MN,D,65%,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1
Sen. Tina Smith (D-MN)*,MN,D,69%,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,1,1,1,1,1,1,0,0,0,0,1,1,1,Not on committee
Sen. Roy Blunt (R-MO),MO,R,5%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee
Sen. Claire McCaskill (D-MO),MO,D,68%,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,Not on committee
Sen. Cindy Hyde-Smith (R-MS)*,MS,R,0%,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,0,0,0,Not on committee
Sen. Roger Wicker (R-MS),MS,R,9%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Not on committee
Sen. Steve Daines (R-MT),MT,R,32%,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,Not on committee
Sen. Jon Tester (D-MT),MT,D,82%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,Not on committee
Sen. Richard Burr (R-NC),NC,R,5%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Missed,0,Missed,Missed,0,0,0,Not on committee
Sen. Thom Tillis (R-NC) ,NC,R,13%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Sen. John Hoeven (R-ND),ND,R,5%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee
Sen. Heidi Heitkamp (D-ND),ND,D,64%,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,Not on committee
"Sen. Benjamin ""Ben"" Sasse (R-NE) ",NE,R,17%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Sen. Deb Fischer (R-NE),NE,R,14%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Not on committee
Sen. Jeanne Shaheen (D-NH),NH,D,64%,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,Not on committee
Sen. Maggie Hassan (D-NH),NH,D,64%,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,Not on committee
Sen. Cory Booker (D-NJ) ,NJ,D,86%,0,1,1,1,1,1,1,1,1,Missed,1,1,1,1,1,0,0,1,1,1,1,1,1
"Sen. Robert ""Bob"" Menendez (D-NJ)",NJ,D,77%,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,Not on committee
Sen. Martin Heinrich (D-NM),NM,D,77%,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,Not on committee
Sen. Tom Udall (D-NM),NM,D,77%,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,Not on committee
Sen. Dean Heller (R-NV),NV,R,14%,1,0,0,0,0,0,0,0,0,Missed,1,1,0,0,0,0,0,0,0,0,0,0,Not on committee
Sen. Catherine Cortez Masto (D-NV),NV,D,64%,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,Not on committee
"Leader Charles ""Chuck"" Schumer (D-NY)",NY,D,68%,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,Not on committee
Sen. Kirsten Gillibrand (D-NY),NY,D,86%,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,Not on committee
Sen. Rob Portman (R-OH),OH,R,9%,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee
Sen. Sherrod Brown (D-OH),OH,D,77%,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,Not on committee
"Sen. James ""Jim"" Inhofe (R-OK)",OK,R,9%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Not on committee
Sen. James Lankford (R-OK),OK,R,9%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Not on committee
Sen. Jeff Merkley (D-OR),OR,D,86%,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,Not on committee
Sen. Ron Wyden (D-OR),OR,D,86%,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,Not on committee
Sen. Pat Toomey (R-PA),PA,R,6%,1,0,0,0,0,0,0,0,0,Missed,0,0,0,0,0,Missed,0,Missed,Missed,0,0,0,Not on committee
"Sen. Robert ""Bob"" Casey (D-PA)",PA,D,59%,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,Not on committee
Sen. Jack Reed (D-RI),RI,D,64%,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,Not on committee
Sen. Sheldon Whitehouse (D-RI) ,RI,D,65%,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1
Sen. Lindsey Graham (R-SC) ,SC,R,9%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sen. Tim Scott (R-SC),SC,R,5%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee
Sen. John Thune (R-SD),SD,R,9%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Not on committee
Sen. Mike Rounds (R-SD),SD,R,5%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee
Sen. Bob Corker (R-TN),TN,R,14%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Not on committee
Sen. Lamar Alexander (R-TN),TN,R,5%,1,0,0,0,0,0,0,0,0,Missed,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee
Sen. Ted Cruz (R-TX) ,TX,R,22%,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
Whip John Cornyn (R-TX) ,TX,R,4%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sen. Mike Lee (R-UT) ,UT,R,35%,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1
Sen. Orrin Hatch (R-UT) ,UT,R,4%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sen. Mark Warner (D-VA),VA,D,64%,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,Not on committee
Sen. Tim Kaine (D-VA),VA,D,68%,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,Not on committee
Sen. Bernie Sanders (I-VT),VT,I,86%,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,Not on committee
"Sen. Patrick ""Pat"" Leahy (D-VT) ",VT,D,77%,0,Missed,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
Sen. Maria Cantwell (D-WA),WA,D,77%,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,Not on committee
Sen. Patty Murray (D-WA),WA,D,77%,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,Not on committee
Sen. Ron Johnson (R-WI),WI,R,14%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Not on committee
Sen. Tammy Baldwin (D-WI),WI,D,76%,0,1,1,1,1,1,1,1,1,1,1,1,Missed,1,1,0,0,0,0,1,1,1,Not on committee
Sen. Shelley Capito (R-WV),WV,R,5%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee
Sen. Joe Manchin (D-WV),WV,D,50%,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,Not on committee
Sen. John Barrasso (R-WY),WY,R,18%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,Not on committee
Sen. Mike Enzi (R-WY),WY,R,18%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,Not on committee
,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGEND:,,,,,,,,,,,,,,,,,,,,,,,,,,
"Check mark indicates alignment with ACLU, X indicates lack of alignment with ACLU",,,,,,,,,,,,,,,,,,,,,,,,,,
Light grey background indicates Not Yet In Office,,,,,,,,,,,,,,,,,,,,,,,,,,
Light blue background indicates Missed Vote,,,,,,,,,,,,,,,,,,,,,,,,,,
Light yellow background indicates Not on Committee,,,,,,,,,,,,,,,,,,,,,,,,,,
