Rep. Bob Goodlatte (R-VA-6),998,VA-06
Rep. Tom Marino (R-PA-10),925,PA-10
Rep. Mike Johnson (R-LA-4),729,LA-04
Rep. Matt Gaetz (R-FL-1),640,FL-01
Rep. Doug Collins (R-GA-9),655,GA-09
Rep. Darrell Issa (R-CA-49) ,552,CA-49
Rep. Ron DeSantis (R-FL-6),642,FL-06
Rep. Louie Gohmert (R-TX-1),976,TX-01
Rep. Ken Buck (R-CO-4) ,605,CO-04
Rep. Brad Schneider (D-IL-10),682,IL-10
Rep. Hank Johnson (D-GA-4),656,GA-04
Rep. Zoe Lofgren (D-CA-19),599,CA-19
Rep. David Cicilline (D-RI-1),927,RI-01
Rep. Steve Cohen (D-TN-9),953,TN-09
Rep. Hakeem Jeffries (D-NY-8),862,NY-08
Rep. Val Demings (D-FL-10),647,FL-10
Rep. Steve Chabot (R-OH-1),892,OH-01
Rep. John Ratcliffe (R-TX-4),969,TX-04
Rep. John Rutherford (R-FL-4),635,FL-04
Rep. Jim Jordan (R-OH-4),884,OH-04
Rep. Ted Poe (R-TX-2),988,TX-02
Rep. Ted Deutch (D-FL-22),645,FL-22
Rep. Ted Lieu (D-CA-33) ,596,CA-33
Rep. Cedric Richmond (D-LA-2),725,LA-02
Rep. Keith Rothfus (R-PA-12),914,PA-12
Rep. Steve King (R-IA-4),674,IA-04
Rep. Jerry Nadler (D-NY-10),863,NY-10
Rep. Pramila Jayapal (D-WA-7),1022,WA-07
Rep. Jamie Raskin (D-MD-8),749,MD-08
Rep. Sheila Jackson Lee (D-TX-18),986,TX-18
Rep. Karen Handel (R-GA-6)*,1044,GA-06
Rep. Andy Biggs (R-AZ-5) ,535,AZ-05
Rep. Raul Labrador (R-ID-1),678,ID-01
Rep. Trey Gowdy (R-SC-4),939,SC-04
Rep. Eric Swalwell (D-CA-15),560,CA-15
Rep. Martha Roby (R-AL-2),522,AL-02
Rep. Lamar Smith (R-TX-21),974,TX-21
Rep. Jim Sensenbrenner (R-WI-5),1025,WI-05
Rep. Luis Gutierrez (D-IL-4) ,689,IL-04
Rep. Karen Bass (D-CA-37)!,575,CA-37
Rep. Brad Wenstrup (R-OH-2),881,OH-02
Rep. Mike Conaway (R-TX-11),970,TX-11
Rep. Will Hurd (R-TX-23),990,TX-23
Rep. Rick Crawford (R-AR-1),529,AR-01
Rep. Pete King (R-NY-2),874,NY-02
Rep. Devin Nunes (R-CA-22),554,CA-22
Rep. Mike Turner (R-OH-10),888,OH-10
Rep. Elise Stefanik (R-NY-21),859,NY-21
Rep. Frank LoBiondo (R-NJ-2),833,NJ-02
Rep. Chris Stewart (R-UT-2),991,UT-02
Rep. Ileana Ros-Lehtinen (R-FL-27),634,FL-27
Rep. Tom Rooney (R-FL-17),646,FL-17
Rep. Terri Sewell (D-AL-7),527,AL-07
Rep. Jim Himes (D-CT-4) ,611,CT-04
Rep. Andre Carson (D-IN-7),699,IN-07
