aclu_id,display_name,running_in_2018,running_for_president
719,Rep. James Comer,1,0
716,Rep. Brett Guthrie,1,0
720,Rep. John Yarmuth,1,0
723,Rep. Thomas Massie,1,0
718,Rep. Hal Rogers,1,0
717,Rep. Andy Barr,1,0
731,Whip Steve Scalise,1,0
725,Rep. Cedric Richmond,1,0
726,"Rep. Clay ""Captain"" Higgins",1,0
729,Rep. Mike Johnson,1,0
730,Rep. Ralph Abraham,1,0
727,Rep. Garret Graves,1,0
739,"Rep. Richard ""Richie"" Neal",1,0
734,Rep. Jim McGovern,1,0
738,Rep. Niki Tsongas,0,0
735,Rep. Joe Kennedy,1,0
736,Rep. Katherine Clark,1,0
740,Rep. Seth Moulton,1,0
737,"Rep. Michael ""Mike"" Capuano",1,0
741,"Rep. Stephen ""Steve"" Lynch",1,0
742,Rep. Bill Keating,1,0
743,Rep. Andy Harris,1,0
746,Rep. Dutch Ruppersberger,1,0
751,Rep. John Sarbanes,1,0
744,Rep. Anthony Brown,1,0
752,Whip Steny Hoyer,1,0
750,Rep. John Delaney,0,0
748,Rep. Elijah Cummings,1,0
749,Rep. Jamie Raskin,1,0
755,Rep. Chellie Pingree,1,0
754,Rep. Bruce Poliquin,1,0
765,"Rep. John ""Jack"" Bergman",1,0
757,Rep. Bill Huizenga,1,0
767,Rep. Justin Amash,1,0
766,Rep. John Moolenaar,1,0
759,Rep. Dan Kildee,1,0
763,Rep. Fred Upton,1,0
771,Rep. Tim Walberg,1,0
768,"Rep. Michael ""Mike"" Bishop",1,0
770,Rep. Sandy Levin,0,0
769,Rep. Paul Mitchell,1,0
760,"Rep. David ""Dave"" Trott",0,0
761,Rep. Debbie Dingell,1,0
758,Rep. Brenda Lawrence,1,0
778,Rep. Tim Walz,0,0
775,Rep. Jason Lewis,1,0
774,Rep. Erik Paulsen,1,0
773,Rep. Betty McCollum,1,0
776,Rep. Keith Ellison,0,0
780,"Rep. Thomas ""Tom"" Emmer",1,0
1045,Rep. Collin Peterson,1,0
777,Rep. Rick Nolan,0,0
790,Rep. Lacy Clay,1,0
781,Rep. Ann Wagner,1,0
783,Rep. Blaine Luetkemeyer,1,0
789,Rep. Vicky Hartzler,1,0
785,Rep. Emanuel Cleaver,1,0
788,Rep. Sam Graves,1,0
782,Rep. Billy Long,1,0
786,Rep. Jason Smith,1,0
796,Rep. Trent Kelly,1,0
792,Rep. Bennie Thompson,1,0
793,Rep. Gregg Harper,0,0
795,Rep. Steven Palazzo,1,0
1047,Rep. Greg Gianforte,1,0
802,Rep. G.K. Butterfield,1,0
803,Rep. George Holding,1,0
813,Rep. Walter Jones,1,0
800,Rep. David Price,1,0
812,Rep. Virginia Foxx,1,0
805,Rep. Mark Walker,1,0
801,Rep. David Rouzer,1,0
808,Rep. Richard Hudson,1,0
