aclu_id,display_name,running_for_president,running_for_next_term,seat_up
743,Rep. Andy Harris,0,1,1
744,Rep. Anthony Brown,0,1,1
746,Rep. Dutch Ruppersberger,0,1,1
748,Rep. Elijah Cummings,0,0,1
749,Rep. Jamie Raskin,0,1,1
751,Rep. John Sarbanes,0,1,1
752,Rep. Steny Hoyer,0,1,1
755,Rep. Chellie Pingree,0,1,1
757,Rep. Bill Huizenga,0,1,1
758,Rep. Brenda Lawrence,0,1,1
759,Rep. Dan Kildee,0,1,1
761,Rep. Debbie Dingell,0,1,1
763,Rep. Fred Upton,0,1,1
765,Rep. Jack Bergman,0,1,1
766,Rep. John Moolenaar,0,1,1
767,Rep. Justin Amash,0,0,1
769,Rep. Paul Mitchell,0,0,1
771,Rep. Tim Walberg,0,1,1
773,Rep. Betty McCollum,0,1,1
780,Rep. Tom Emmer,0,1,1
781,Rep. Ann Wagner,0,1,1
782,Rep. Billy Long,0,1,1
783,Rep. Blaine Luetkemeyer,0,1,1
785,Rep. Emanuel Cleaver,0,1,1
786,Rep. Jason Smith,0,1,1
788,Rep. Sam Graves,0,1,1
789,Rep. Vicky Hartzler,0,1,1
790,Rep. Lacy Clay,0,0,1
792,Rep. Bennie Thompson,0,1,1
795,Rep. Steven Palazzo,0,1,1
796,Rep. Trent Kelly,0,1,1
799,Rep. Alma Adams,0,1,1
800,Rep. David Price,0,1,1
801,Rep. David Rouzer,0,1,1
802,Rep. G.K. Butterfield,0,1,1
803,Rep. George Holding,0,0,1
804,Rep. Mark Meadows,0,0,1
805,Rep. Mark Walker,0,0,1
806,Rep. Patrick McHenry,0,1,1
808,Rep. Richard Hudson,0,1,1
810,Rep. Ted Budd,0,1,1
812,Rep. Virginia Foxx,0,1,1
817,Rep. Adrian Smith,0,1,1
820,Rep. Don Bacon,0,1,1
821,Rep. Jeff Fortenberry,0,1,1
822,Rep. Ann McLane Kuster,0,1,1
826,Rep. Albio Sires,0,1,1
827,Rep. Bill Pascrell,0,1,1
828,Rep. Bonnie Watson Coleman,0,1,1
829,Rep. Chris Smith,0,1,1
831,Rep. Donald Norcross,0,1,1
832,Rep. Donald Payne,0,1,1
834,Rep. Frank Pallone,0,1,1
835,Rep. Josh Gottheimer,0,1,1
840,Rep. Ben Ray Lujan,0,0,1
847,Rep. Dina Titus,0,1,1
849,Rep. Mark Amodei,0,1,1
851,Rep. Adriano Espaillat,0,1,1
852,Rep. Brian Higgins,0,1,1
853,Rep. Carolyn Maloney,0,1,1
855,Rep. Chris Collins,0,0,1
858,Rep. Eliot Engel,0,0,1
859,Rep. Elise Stefanik,0,1,1
860,Rep. Grace Meng,0,1,1
861,Rep. Gregory Meeks,0,1,1
