Representative,State + District,Party,Total percentage score,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
,,,,H65: On H.R. 7: No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2017,"H76: On H.J.Res. 37: Disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and ...","H77: On H.J.Res. 40: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by ...","H84: On H.J.Res. 57: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by ...","H99: On H.J.Res. 43: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted ...","H202: On S.J.Res. 34: A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the ...",H244: On H.R. 1180: Working Families Flexibility Act of 2017,H256: On H.R. 1628: American Health Care Act of 2017,H265: On H.R. 115: Thin Blue Line Act,H268: On H.R. 1039: Probation Officer Protection Act of 2017,H342: On H.R. 3003: No Sanctuary for Criminals Act,H344: On H.R. 3004: Kate's Law,H369: On H.Amdt. 183 (Hartzler) to H.R. 2810 (115th): To prohibit funds for medical treatment (other than mental health treatment) related to ...,H372: On H.Amdt. 185 (Franks) to H.R. 2810 (115th): To require the Secretary of Defense to conduct strategic assessments of the use ...,H442: On Ordering the Previous Question: H RES 500 Providing for consideration of the bill (H.R. 3354) making appropriations for the Dept. of the Interior; providing for consideration of motions to s,H495: On H.Amdt. 383 (Scott) to H.R. 3354 (115th): To strike section prohibiting the EEOC from using funds to implement pay data ...,"H514: On H.Amdt. 427 (Ellison) to H.R. 3354 (115th): At the end of division F (before the short title), insert the following: ...",H517: On H.R. 3697: Criminal Alien Gang Member Removal Act,H518: On H.Amdt. 432 (Palmer) to H.R. 3354 (115th): To prohibit funds from being used to implement the District of Columbia's Reproductive ...,H549: On H.R. 36: Pain-Capable Unborn Child Protection Act,H14: On H.Amdt. 510 (Amash) to S. 139 (115th): To replace the text of S. 139 with the text of the USA ...,H16: On S. 139: An Act to amend the Foreign Intelligence Surveillance Act of 1978 to improve foreign intelligence collection and the ...,H36: On H.R. 4712: Born-Alive Abortion Survivors Protection Act,H80: On H.R. 620: ADA Education and Reform Act of 2017,H91: On H.R. 1865: Allow States and Victims to Fight Online Sex Trafficking Act of 2017,"H127: On H.R. 1625: Consolidated Appropriations Act, 2018",H175: On H.R. 2152: Citizens' Right to Know Act of 2018,H188: On H.R. 5698: Protect and Serve Act of 2018,"Judiciary committee vote (H13): Michael Davis, Jr. and Danny Oliver in Honor of State and Local Law Enforcement Act",Judiciary committee vote (H14): USCIS Reauthorization Act,Judiciary committee vote (H18): ICE Authorization Act,Judiciary committee vote (H17): Legal Workforce Act,Judiciary committee vote (H1): Poe Amendment #3 to H.R. 3989 (the USA Liberty Act),Intel committee vote on H.R. 4478 (FISA Amendments Reauthorization Act),Judiciary committee vote (H2): Citizens' Right to Know Act of 2017,Judiciary committee vote (H2): FIRST STEP Act
,,,,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed
Rep. Rick Crawford (R-AR-1),AR-01,R,4%,0,0,1,0,0,0,0,0,Missed,Missed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,0,Not on committee,Not on committee
Rep. French Hill (R-AR-2),AR-02,R,11%,0,0,1,0,0,Missed,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Steve Womack (R-AR-3),AR-03,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Bruce Westerman (R-AR-4),AR-04,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Tom O'Halleran (D-AZ-1),AZ-01,D,68%,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Martha McSally (R-AZ-2),AZ-02,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Raul Grijalva (D-AZ-3),AZ-03,D,89%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Paul Gosar (R-AZ-4),AZ-04,R,29%,0,0,1,0,0,0,0,0,0,1,Missed,Missed,0,0,0,0,0,Missed,Missed,0,1,1,0,0,1,1,0,1,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Andy Biggs (R-AZ-5) ,AZ-05,R,26%,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,Not on committee,0,Missed
Rep. David Schweikert (R-AZ-6),AZ-06,R,18%,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Ruben Gallego (D-AZ-7),AZ-07,D,89%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Debbie Lesko (R-AZ-8)*,AZ-08,R,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Not on committee,Not on committee,Not on committee,,,,Not on committee,Not on committee
Rep. Kyrsten Sinema (D-AZ-9),AZ-09,D,64%,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Doug LaMalfa (R-CA-1),CA-01,R,4%,0,0,Missed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Jared Huffman (D-CA-2),CA-02,D,93%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Missed,1,1,1,1,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. John Garamendi (D-CA-3),CA-03,D,75%,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Tom McClintock (R-CA-4),CA-04,R,21%,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Mike Thompson (D-CA-5),CA-05,D,75%,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Doris Matsui (D-CA-6),CA-06,D,89%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Ami Bera (D-CA-7),CA-07,D,71%,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Paul Cook (R-CA-8),CA-08,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Jerry McNerney (D-CA-9),CA-09,D,88%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Missed,Missed,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Jeff Denham (R-CA-10),CA-10,R,11%,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Mark DeSaulnier (D-CA-11),CA-11,D,96%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Missed,Missed,1,1,1,1,1,1,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Leader Nancy Pelosi (D-CA-12),CA-12,D,77%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Missed,Missed,1,0,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Barbara Lee (D-CA-13),CA-13,D,96%,1,1,0,1,1,1,1,1,1,Missed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Jackie Speier (D-CA-14),CA-14,D,82%,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,Missed,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,1,Not on committee,Not on committee
Rep. Eric Swalwell (D-CA-15),CA-15,D,78%,1,1,0,1,1,1,1,1,Missed,Missed,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,Missed,Missed,Missed,Missed,Missed,1,Missed,Missed
Rep. Jim Costa (D-CA-16),CA-16,D,60%,Missed,0,0,1,1,1,1,1,0,Missed,1,1,1,1,Missed,Missed,Missed,Missed,Missed,1,0,0,1,Missed,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Ro Khanna (D-CA-17),CA-17,D,93%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Anna Eshoo (D-CA-18),CA-18,D,86%,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Zoe Lofgren (D-CA-19),CA-19,D,91%,1,1,0,1,1,1,1,1,1,Missed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,Not on committee,1,0
Rep. Jimmy Panetta (D-CA-20),CA-20,D,79%,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. David Valadao (R-CA-21),CA-21,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,Missed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Devin Nunes (R-CA-22),CA-22,R,4%,0,0,1,0,0,0,0,0,0,0,Missed,Missed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,0,Not on committee,Not on committee
Leader Kevin McCarthy (R-CA-23),CA-23,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Salud Carbajal (D-CA-24),CA-24,D,73%,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,Missed,Missed,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Steve Knight (R-CA-25),CA-25,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Julia Brownley (D-CA-26),CA-26,D,79%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Judy Chu (D-CA-27),CA-27,D,89%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Adam Schiff (D-CA-28),CA-28,D,79%,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,1,Not on committee,Not on committee
Rep. Tony Cardenas (D-CA-29),CA-29,D,88%,1,1,0,1,1,1,1,1,1,Missed,1,1,1,1,1,1,1,1,1,1,Missed,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Brad Sherman (D-CA-30),CA-30,D,86%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. Peter ""Pete"" Aguilar (D-CA-31)",CA-31,D,75%,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Grace Napolitano (D-CA-32),CA-32,D,86%,1,1,0,1,1,1,1,1,Missed,Missed,Missed,Missed,Missed,Missed,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Ted Lieu (D-CA-33) ,CA-33,D,87%,Missed,1,0,1,1,1,1,1,1,1,1,1,Missed,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,Missed,Missed,1,Not on committee,Missed,0
Rep. Jimmy Gomez (D-CA-34)*,CA-34,D,93%,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,Missed,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Norma Torres (D-CA-35),CA-35,D,81%,1,1,Missed,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Missed,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Raul Ruiz (D-CA-36),CA-36,D,71%,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Karen Bass (D-CA-37)!,CA-37,D,92%,1,1,0,1,Missed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Missed,Missed,0,1,1,1,Missed,Missed,Missed,Missed,Missed,Not on committee,Missed,Missed
Rep. Linda Sanchez (D-CA-38),CA-38,D,89%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Ed Royce (R-CA-39),CA-39,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Lucille Roybal-Allard (D-CA-40),CA-40,D,89%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Mark Takano (D-CA-41),CA-41,D,93%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Ken Calvert (R-CA-42),CA-42,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Maxine Waters (D-CA-43),CA-43,D,89%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Nanette Barragan (D-CA-44),CA-44,D,93%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Mimi Walters (R-CA-45),CA-45,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Lou Correa (D-CA-46),CA-46,D,75%,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Alan Lowenthal (D-CA-47),CA-47,D,89%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Dana Rohrabacher (R-CA-48),CA-48,R,21%,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Darrell Issa (R-CA-49) ,CA-49,R,9%,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Missed,0,Missed,0,Not on committee,0,0
Rep. Duncan Hunter (R-CA-50),CA-50,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. Juan ""Paco"" Vargas (D-CA-51)",CA-51,D,89%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Scott Peters (D-CA-52),CA-52,D,71%,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Susan Davis (D-CA-53),CA-53,D,86%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Diana DeGette (D-CO-1),CO-01,D,92%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,Missed,1,1,1,1,1,1,1,1,1,0,1,1,Missed,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Jared Polis (D-CO-2),CO-02,D,93%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Scott Tipton (R-CO-3),CO-03,R,7%,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
