Senator,State,Party,S36: On Motion to Invoke Cloture on Amdt. No. 1959,S34: On Motion to Invoke Cloture on Amdt. No. 1948,Judiciary committee vote - S. 1917: Sentencing Reform and Corrections Act of 2017,S25: On Motion to Invoke Cloture on the Motion to Proceed to the Consideration of S. 2311,S179: On S.Amdt. 667 (McConnell) to H.R. 1628 (115th) and to S.Amdt. 267: Of a perfecting nature.,S167: On the Motion to Proceed H.R. 1628,"S101: On H.J.Res. 43: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted ...",S100: On the Motion to Proceed H.J.Res. 43,"S84: On H.J.Res. 57: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by ...","S81: On H.J.Res. 37: Disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and ...",S80: On the Motion to Proceed H.J.Res. 37,"S66: On H.J.Res. 40: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by ...","S63: On H.R. 1625: Consolidated Appropriations Act, 2018",S62: On Motion to Invoke Cloture on the Motion to Concur in the House Amendment to the Senate Amendment to H.R. 1625,S12: On S. 139: An Act to amend the Foreign Intelligence Surveillance Act of 1978 to improve foreign intelligence collection and the ...,S11: On Motion to Invoke Cloture: Motion to Concur in the House Amdt. to S. 139,S10: On the Motion to Proceed S. 139,"S94: On S.J.Res. 34: A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the ...",S60: On H.R. 1865: Allow States and Victims to Fight Online Sex Trafficking Act of 2017,"S96: On the Motion to Proceed: Motion to Proceed to S. J. Res. 52; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Communications Commission relating to ""Restoring Internet Freedom"".","S97: On the Joint Resolution: S. J. Res. 52; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Communications Commission relating to ""Restoring Internet Freedom"".",S57: On Motion to Invoke Cloture on the Motion to Proceed to H.R. 1865,,,,,,,,,,,,,,,,,,
,,,Advancing Justice,Advancing Justice,Advancing Justice,Ending Discrimination,Ending Discrimination,Ending Discrimination,Ending Discrimination,Ending Discrimination,Ending Discrimination,Ending Discrimination,Ending Discrimination,Ending Discrimination,Protecting Liberty,Protecting Liberty,Protecting Liberty,Protecting Liberty,Protecting Liberty,Protecting Liberty,Protecting Liberty,Protecting Liberty,Protecting Liberty,Protecting Liberty,,,,,,,,,,,,,,,,,,
,,,Immigration,Immigration,Criminal Justice ,Repro,"Disability, Repro - ACA repeal","Disability, Repro - ACA repeal",Repro - Title X protections,Repro - Title X protections,Racial justice - edu,"Disability, Women","Disability, Women",Disability,Privacy,Privacy,Privacy - FISA,Privacy - FISA,Privacy - FISA,Privacy - FCC rules,Freedom of Speech - FOSTA,Freedom of Speech - Net Neutrality,Freedom of Speech - Net Neutrality,Freedom of Speech - FOSTA,,,,,,,,,,,,,,,,,,
,,,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Supported,ACLU Opposed,Total votes: Advancing Justice,Total abstained: Advancing Justice,Advancing Justice score,Advancing Justice percentage,Total votes: Ending Discrimination,Total abstained: Ending Discrimination,Ending Discrimination score,Ending Discrimination percentage,Total votes: Protecting Liberty,Total abstained: Protecting Liberty ,Protecting Liberty score,Protecting Liberty percentage,Total votes scored ,Total votes abstained ,Total votes missed before taking office,"Total ""no votes""",Total score ,Total percentage score
Sen. Dean Heller (R-NV),NV,R,0,0,Not on committee,0,0,0,0,0,0,0,0,1,0,0,1,1,Missed,0,0,0,0,0,2,0,0,0%,9,0,1,11%,9,1,2,22%,20,1,0,1,3,15%
Sen. Deb Fischer (R-NE),NE,R,0,0,Not on committee,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0%,9,0,1,11%,10,0,2,20%,21,0,0,0,3,14%
Sen. Debbie Stabenow (D-MI),MI,D,1,0,Not on committee,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,2,0,1,50%,9,0,8,89%,10,0,4,40%,21,0,0,0,13,62%
Sen. Dianne Feinstein (D-CA)*,CA,D,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,3,0,3,100%,9,0,8,89%,10,0,5,50%,22,0,0,0,16,73%
Sen. Doug Jones (D-AL),AL,D,1,1,Not on committee,1,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,0,0,0,0,0,Not yet in office,0,1,1,0,2,0,2,100%,1,0,1,100%,9,0,2,22%,12,0,9,9,5,42%
"Sen. Edward ""Ed"" Markey (D-MA)",MA,D,1,1,Not on committee,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,2,0,2,100%,9,0,8,89%,10,0,7,70%,21,0,0,0,17,81%
Sen. Elizabeth Warren (D-MA),MA,D,1,1,Not on committee,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,2,0,2,100%,9,0,8,89%,10,0,8,80%,21,0,0,0,18,86%
Sen. Gary Peters (D-MI),MI,D,1,1,Not on committee,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,2,0,2,100%,9,0,8,89%,10,0,3,30%,21,0,0,0,13,62%
Sen. Heidi Heitkamp (D-ND),ND,D,0,1,Not on committee,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,2,0,1,50%,9,0,9,100%,10,0,3,30%,21,0,0,0,13,62%
Sen. Jack Reed (D-RI),RI,D,1,1,Not on committee,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,2,0,2,100%,9,0,8,89%,10,0,3,30%,21,0,0,0,13,62%
"Sen. James ""Jim"" Inhofe (R-OK)",OK,R,1,0,Not on committee,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,50%,9,0,1,11%,10,0,0,0%,21,0,0,0,2,10%
"Sen. James ""Jim"" Risch (R-ID)",ID,R,0,0,Not on committee,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0%,9,0,1,11%,10,0,2,20%,21,0,0,0,3,14%
Sen. James Lankford (R-OK),OK,R,0,0,Not on committee,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0%,9,0,1,11%,10,0,1,10%,21,0,0,0,2,10%
Sen. Jeanne Shaheen (D-NH),NH,D,1,1,Not on committee,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,2,0,2,100%,9,0,8,89%,10,0,3,30%,21,0,0,0,13,62%
Sen. Jeff Flake (R-AZ)*,AZ,R,1,0,1,0,0,0,0,0,0,Missed,0,1,1,1,0,0,0,0,0,0,0,0,3,0,2,67%,8,1,1,13%,10,0,2,20%,21,1,0,1,5,24%
Sen. Jeff Merkley (D-OR),OR,D,1,1,Not on committee,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,2,0,2,100%,9,0,8,89%,10,0,8,80%,21,0,0,0,18,86%
Sen. Jerry Moran (R-KS),KS,R,1,0,Not on committee,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,1,50%,9,0,1,11%,10,0,2,20%,21,0,0,0,4,19%
Sen. Joe Donnelly (D-IN),IN,D,0,0,Not on committee,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,2,0,0,0%,9,0,8,89%,10,0,3,30%,21,0,0,0,11,52%
Sen. Joe Manchin (D-WV),WV,D,0,0,Not on committee,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,2,0,0,0%,9,0,8,89%,10,0,3,30%,21,0,0,0,11,52%
Sen. John Barrasso (R-WY),WY,R,1,0,Not on committee,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,1,50%,9,0,1,11%,10,0,2,20%,21,0,0,0,4,19%
Sen. John Boozman (R-AR),AR,R,0,0,Not on committee,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0%,9,0,1,11%,10,0,0,0%,21,0,0,0,1,5%
Sen. John Hoeven (R-ND),ND,R,0,0,Not on committee,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0%,9,0,1,11%,10,0,0,0%,21,0,0,0,1,5%
Sen. John Kennedy (R-LA)*,LA,R,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,3,0,1,33%,9,0,1,11%,10,0,4,40%,22,0,0,0,6,27%
Sen. John McCain (R-AZ),AZ,R,Missed,Missed,Not on committee,Missed,1,0,0,0,0,0,0,1,Missed,Missed,Missed,Missed,Missed,0,Missed,Missed,Missed, ,0,2,0,n/a,8,1,2,25%,1,8,0,0%,9,11,0,11,2,22%
Sen. John Thune (R-SD),SD,R,1,0,Not on committee,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,50%,9,0,1,11%,10,0,0,0%,21,0,0,0,2,10%
Sen. Johnny Isakson (R-GA),GA,R,0,0,Not on committee,0,0,0,0,0,Missed,Missed,Missed,1,0,0,0,0,0,Missed,0,0,0,0,2,0,0,0%,6,3,1,17%,9,1,0,0%,17,4,0,4,1,6%
Sen. Jon Tester (D-MT),MT,D,1,1,Not on committee,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,2,0,2,100%,9,0,9,100%,10,0,6,60%,21,0,0,0,17,81%
Sen. Joni Ernst (R-IA),IA,R,0,0,Not on committee,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0%,9,0,1,11%,10,0,1,10%,21,0,0,0,2,10%
Sen. Kamala Harris (D-CA)*,CA,D,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,3,0,3,100%,9,0,8,89%,10,0,8,80%,22,0,0,0,19,86%
Sen. Kirsten Gillibrand (D-NY),NY,D,1,1,Not on committee,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,2,0,2,100%,9,0,8,89%,10,0,8,80%,21,0,0,0,18,86%
Sen. Lamar Alexander (R-TN),TN,R,0,0,Not on committee,0,0,0,0,0,0,0,0,1,0,0,0,0,Missed,0,0,0,0,0,2,0,0,0%,9,0,1,11%,9,1,0,0%,20,1,0,1,1,5%
Sen. Lindsey Graham (R-SC)*,SC,R,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,33%,9,0,1,11%,10,0,0,0%,22,0,0,0,2,9%
Sen. Lisa Murkowski (R-AK),AK,R,1,0,Not on committee,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,2,0,1,50%,9,0,6,67%,10,0,4,40%,21,0,0,0,11,52%
Sen. Maggie Hassan (D-NH),NH,D,1,1,Not on committee,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,2,0,2,100%,9,0,8,89%,10,0,3,30%,21,0,0,0,13,62%
Sen. Marco Rubio (R-FL),FL,R,0,0,Not on committee,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0%,9,0,1,11%,10,0,0,0%,21,0,0,0,1,5%
Sen. Maria Cantwell (D-WA),WA,D,1,1,Not on committee,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,2,0,2,100%,9,0,8,89%,10,0,6,60%,21,0,0,0,16,76%
Sen. Mark Warner (D-VA),VA,D,1,1,Not on committee,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,2,0,2,100%,9,0,8,89%,10,0,3,30%,21,0,0,0,13,62%
Sen. Martin Heinrich (D-NM),NM,D,1,1,Not on committee,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,2,0,2,100%,9,0,8,89%,10,0,6,60%,21,0,0,0,16,76%
Sen. Mazie Hirono (D-HI)*,HI,D,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,3,0,3,100%,9,0,8,89%,10,0,6,60%,22,0,0,0,17,77%
Sen. Michael Bennet (D-CO),CO,D,1,1,Not on committee,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,2,0,2,100%,9,0,8,89%,10,0,5,50%,21,0,0,0,15,71%
Sen. Mike Crapo (R-ID)*,ID,R,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,1,33%,9,0,1,11%,10,0,2,20%,22,0,0,0,4,18%
Sen. Mike Enzi (R-WY),WY,R,1,0,Not on committee,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,1,50%,9,0,1,11%,10,0,2,20%,21,0,0,0,4,19%
Sen. Mike Lee (R-UT)*,UT,R,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,3,0,2,67%,9,0,1,11%,10,0,5,50%,22,0,0,0,8,36%
Sen. Mike Rounds (R-SD),SD,R,0,0,Not on committee,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0%,9,0,1,11%,10,0,0,0%,21,0,0,0,1,5%
Sen. Orrin Hatch (R-UT)*,UT,R,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0%,9,0,1,11%,10,0,0,0%,22,0,0,0,1,5%
Sen. Pat Roberts (R-KS),KS,R,0,0,Not on committee,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Missed,2,0,0,0%,9,0,1,11%,9,1,0,0%,20,1,0,1,1,5%
Sen. Pat Toomey (R-PA),PA,R,0,0,Not on committee,0,0,0,0,0,0,0,0,1,Missed,Missed,0,0,Missed,0,0,0,0,Missed,2,0,0,0%,9,0,1,11%,6,4,0,0%,17,4,0,4,1,6%
"Sen. Patrick ""Pat"" Leahy (D-VT)*",VT,D,1,1,1,1,1,1,1,1,1,1,Missed,0,0,0,1,1,1,1,0,1,1,0,3,0,3,100%,8,1,7,88%,10,0,6,60%,21,1,0,1,16,76%
Sen. Patty Murray (D-WA),WA,D,1,1,Not on committee,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,2,0,2,100%,9,0,8,89%,10,0,6,60%,21,0,0,0,16,76%
Sen. Rand Paul (R-KY),KY,R,1,0,Not on committee,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Missed,1,0,0,1,2,0,1,50%,9,0,1,11%,9,1,7,78%,20,1,0,1,9,45%
"Sen. Richard ""Dick"" Blumenthal (D-CT)*",CT,D,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,3,0,3,100%,9,0,8,89%,10,0,5,50%,22,0,0,0,16,73%
