id,path,name
aclu/elections-api/congress_district:86,congress_districts_113/ca/congress_district_113_ca_08.geojson,CA Congressional District 8
aclu/elections-api/congress_district:87,congress_districts_113/ca/congress_district_113_ca_09.geojson,CA Congressional District 9
aclu/elections-api/congress_district:88,congress_districts_113/ca/congress_district_113_ca_10.geojson,CA Congressional District 10
aclu/elections-api/congress_district:89,congress_districts_113/ca/congress_district_113_ca_11.geojson,CA Congressional District 11
aclu/elections-api/congress_district:90,congress_districts_113/ca/congress_district_113_ca_12.geojson,CA Congressional District 12
aclu/elections-api/congress_district:91,congress_districts_113/ca/congress_district_113_ca_13.geojson,CA Congressional District 13
aclu/elections-api/congress_district:92,congress_districts_113/ca/congress_district_113_ca_14.geojson,CA Congressional District 14
aclu/elections-api/congress_district:93,congress_districts_113/ca/congress_district_113_ca_15.geojson,CA Congressional District 15
aclu/elections-api/congress_district:94,congress_districts_113/ca/congress_district_113_ca_16.geojson,CA Congressional District 16
aclu/elections-api/congress_district:95,congress_districts_113/ca/congress_district_113_ca_17.geojson,CA Congressional District 17
aclu/elections-api/congress_district:96,congress_districts_113/ca/congress_district_113_ca_18.geojson,CA Congressional District 18
aclu/elections-api/congress_district:97,congress_districts_113/ca/congress_district_113_ca_19.geojson,CA Congressional District 19
aclu/elections-api/congress_district:98,congress_districts_113/ca/congress_district_113_ca_20.geojson,CA Congressional District 20
aclu/elections-api/congress_district:99,congress_districts_113/ca/congress_district_113_ca_21.geojson,CA Congressional District 21
aclu/elections-api/congress_district:100,congress_districts_113/ca/congress_district_113_ca_22.geojson,CA Congressional District 22
aclu/elections-api/congress_district:101,congress_districts_113/ca/congress_district_113_ca_23.geojson,CA Congressional District 23
aclu/elections-api/congress_district:102,congress_districts_113/ca/congress_district_113_ca_24.geojson,CA Congressional District 24
aclu/elections-api/congress_district:103,congress_districts_113/ca/congress_district_113_ca_25.geojson,CA Congressional District 25
aclu/elections-api/congress_district:104,congress_districts_113/ca/congress_district_113_ca_26.geojson,CA Congressional District 26
aclu/elections-api/congress_district:105,congress_districts_113/ca/congress_district_113_ca_27.geojson,CA Congressional District 27
aclu/elections-api/congress_district:106,congress_districts_113/ca/congress_district_113_ca_28.geojson,CA Congressional District 28
aclu/elections-api/congress_district:107,congress_districts_113/ca/congress_district_113_ca_29.geojson,CA Congressional District 29
